ID,start_date,start_time,mode,eval_id,fold,level,epochs,net,sampler,outfile,hostname,remark,Job_ID,Cluster,User/Group,State,Nodes,Cores_per_node,CPU_Utilized,CPU_Efficiency,Job_Wall-clock_time,Memory_Utilized,Memory_Efficiency,WARNING,end_date,end_time,elapsed_time,valid_loss,valid_mae,valid_mae_end5,train_loss,train_mae,train_mae_end5,amp,RandomVerticalFlip,RandomHorizontalFlip,RandomRotation,image_size,RandGaussianNoise,patients_per_level,data_shuffle,data_shuffle_seed,train_nb,valid_nb,train_index_head,valid_index_head,normalize_data,batch_size,loader_workers,loss_fun,lr,gpuname,gpu_mem_usage,gpu_util,valid_metrics_min,r_c,nb_test,test_loss,test_mae,test_mae_end5,test_nb,pretrained,data_dir,label_file
197.0,2021-03-19,22:50:14,train,0.0,2.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76533_1,node855,"re cross validation, pretrained",76533.0,alice,jjia/afd_b,RUNNING,1.0,12.0,00:00:00,0.00% of 01:13:24 core-walltime,00:06:07,0.00 MB (estimated maximum),0.00% of 0.00 MB (0.00 MB/node),Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,27.0,,,,,False,,
198.0,2021-03-19,22:50:17,train,0.0,1.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76533_0,node855,"re cross validation, pretrained",76533.0,alice,jjia/afd_b,RUNNING,1.0,12.0,00:00:00,0.00% of 01:13:24 core-walltime,00:06:07,0.00 MB (estimated maximum),0.00% of 0.00 MB (0.00 MB/node),Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,27.0,,,,,False,,
199.0,2021-03-19,22:50:32,train,0.0,4.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76534_1,node855,"re cross validation, pretrained",76534.0,alice,jjia/afd_b,RUNNING,1.0,12.0,00:00:00,0.00% of 01:09:24 core-walltime,00:05:47,0.00 MB (estimated maximum),0.00% of 0.00 MB (0.00 MB/node),Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,27.0,,,,,False,,
200.0,2021-03-19,22:50:34,train,0.0,3.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76534_0,node855,"re cross validation, pretrained",76534.0,alice,jjia/afd_b,RUNNING,1.0,12.0,00:00:00,0.00% of 01:09:24 core-walltime,00:05:47,0.00 MB (estimated maximum),0.00% of 0.00 MB (0.00 MB/node),Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,27.0,,,,,False,,
201.0,2021-03-19,22:51:23,train,0.0,5.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76535_0,node854,"re cross validation, pretrained",76535.0,alice,jjia/afd_b,RUNNING,1.0,6.0,00:00:00,0.00% of 00:32:12 core-walltime,00:05:22,0.00 MB (estimated maximum),0.00% of 0.00 MB (0.00 MB/node),Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,27.0,,,,,False,,
202.0,2021-03-19,22:55:20,train,0.0,1.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76536_0,node857,"re cross validation, pretrained",76536.0,alice,jjia/afd_b,RUNNING,1.0,12.0,00:00:00,0.00% of 00:12:12 core-walltime,00:01:01,0.00 MB (estimated maximum),0.00% of 0.00 MB (0.00 MB/node),Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,27.0,,,,,False,,
203.0,2021-03-19,22:55:23,train,0.0,2.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76536_1,node857,"re cross validation, pretrained",76536.0,alice,jjia/afd_b,RUNNING,1.0,12.0,00:00:00,0.00% of 00:12:24 core-walltime,00:01:02,0.00 MB (estimated maximum),0.00% of 0.00 MB (0.00 MB/node),Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,27.0,,,,,False,,
204.0,2021-03-19,22:55:58,train,0.0,3.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76537_0,node856,"re cross validation, pretrained",76537.0,alice,jjia/afd_b,RUNNING,1.0,12.0,00:00:00,0.00% of 00:05:12 core-walltime,00:00:26,0.00 MB (estimated maximum),0.00% of 0.00 MB (0.00 MB/node),Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,27.0,,,,,False,,
205.0,2021-03-19,22:56:01,train,0.0,4.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76537_1,node856,"re cross validation, pretrained",76537.0,alice,jjia/afd_b,RUNNING,1.0,12.0,00:00:00,0.00% of 00:05:12 core-walltime,00:00:26,0.00 MB (estimated maximum),0.00% of 0.00 MB (0.00 MB/node),Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,27.0,,,,,False,,
206.0,2021-03-19,22:56:13,train,0.0,5.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76538_0,node853,"re cross validation, pretrained",76538.0,alice,jjia/afd_b,RUNNING,1.0,6.0,00:00:00,0.00% of 00:00:54 core-walltime,00:00:09,0.00 MB (estimated maximum),0.00% of 0.00 MB (0.00 MB/node),Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,27.0,,,,,False,,
