ID,start_date,start_time,mode,eval_id,net,fc2_nodes,fc1_nodes,r_c,cls,total_folds,fold,level,sampler,synthesis_data,ts_level_nb,masked_by_lung,loss,pretrained,epochs,weight_decay,outfile,hostname,remark,end_date,end_time,elapsed_time,train_loss,train_mae,train_mae_end5,valid_loss,valid_mae,valid_mae_end5,test_loss,test_mae,test_mae_end5,icc_train_disext,icc_train_gg,icc_train_retp,valid_ave_Acc_disext,valid_ave_MAE_disext,valid_WKappa_disext,valid_ave_Acc_gg,valid_ave_MAE_gg,valid_WKappa_gg,valid_ave_Acc_retp,valid_ave_MAE_retp,valid_WKappa_retp,valid_ave_Acc_all,valid_ave_MAE_all,valid_WKappa_all,icc_valid_disext,icc_valid_gg,icc_valid_retp,icc_test_disext,icc_test_gg,icc_test_retp,metrics_min,Job_ID,Cluster,User/Group,State,Cores,CPU_Utilized,CPU_Efficiency,Job_Wall-clock_time,Memory_Utilized,Memory_Efficiency,Nodes,Cores_per_node,WARNING,amp,net_parameters,data_shuffle,data_shuffle_seed,data_dir,label_file,tr_pat_nb,vd_pat_nb,ts_pat_nb,RandomVerticalFlip,RandomHorizontalFlip,RandomRotation,RandomShift,image_size,RandGaussianNoise,RandScale,batch_size,loader_workers,lr,gpuname,gpu_mem_usage,gpu_util,train_recon,fc_m1,workers,sys,valid_period,icc_validaug_disext,icc_validaug_gg,icc_validaug_retp,validaug_loss,validaug_mae,validaug_mae_end5,valid_ave_maedisext,valid_meandisext,valid_stddisext,valid_iccdisext,valid_ave_maegg,valid_meangg,valid_stdgg,valid_iccgg,valid_ave_maeretp,valid_meanretp,valid_stdretp,valid_iccretp,sys_pro,t_load_data,t_to_device,t_train_per_step,gg_increase,bal_filter,sys_ratio,_ori_weight0,retp_blur,gg_blur,sys_pro_in_0,gen_gg_as_retp,icc_alltrain_combined,icc_allvalid_combined,icc_alltest_combined,infer_2nd,train_on_level,level_node,resample_z,z_size,y_size,x_size,infer_stride,kd_net
716.0,2021-04-20,15:46:41,infer,581.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:46:58,0:00:17,9.4,2.23,1.79,121.19,5.8,5.44,108.87,6.15,5.82,1.0,1.0,1.0,0.0908292503604312,16.437936418586574,0.5676828633857038,0.1264495780514087,21.991905278804595,0.5506910785427663,0.0983124611203428,11.658454756266424,0.5729991663192997,0.1051970965107276,16.696098817885865,0.56379103608259,0.75,0.58,0.8,0.76,0.66,0.78,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717.0,2021-04-20,15:46:55,infer,582.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:47:12,0:00:17,11.06,2.38,1.84,138.21,7.63,7.46,152.94,6.58,6.32,1.0,1.0,1.0,0.0904858809620714,14.3954128660011,0.5876653153234447,0.0921136902598189,17.801736431507425,0.5125607006802388,0.0945536518426544,16.287413297203898,0.5519939823389233,0.0923844076881815,16.161520864904144,0.5507399994475356,0.8,0.68,0.74,0.69,0.53,0.71,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718.0,2021-04-20,15:51:32,infer,575.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:51:49,0:00:17,11.64,2.5,2.04,84.0,5.88,5.65,101.36,5.43,5.13,0.99,0.99,0.99,0.1459088074706088,14.28912042458726,0.5385441586862765,0.0640522875816993,15.118326118326117,0.4767070716874914,0.0984792561447613,13.697595170664275,0.4839547900558454,0.1028134503990231,14.36834723785922,0.4997353401432044,0.73,0.64,0.68,0.83,0.79,0.77,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719.0,2021-04-20,15:51:42,infer,576.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:52:00,0:00:18,11.8,2.52,2.01,101.65,5.79,5.41,117.22,5.49,5.16,1.0,1.0,1.0,0.1643046107331821,18.01711309523809,0.617230255661301,0.1003209274489665,19.521453362021933,0.5424957889628002,0.1134188822345945,13.698104567760858,0.5844546461928131,0.126014806805581,17.07889034167363,0.5813935636056381,0.75,0.63,0.75,0.73,0.75,0.66,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720.0,2021-04-20,15:51:57,infer,577.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:52:15,0:00:18,9.57,2.25,1.79,138.78,6.2,5.88,87.44,4.98,4.65,0.99,0.99,0.99,0.1106319720870804,17.528415443131006,0.5399977098362533,0.102495066167835,21.134642277376827,0.5367196078956532,0.0642736847170344,13.438841257475216,0.5497825859178542,0.0924669076573166,17.367299659327678,0.5421666345499202,0.71,0.6,0.77,0.81,0.78,0.77,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721.0,2021-04-20,15:52:08,infer,578.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:52:26,0:00:18,11.66,2.47,1.98,147.07,7.69,7.48,107.34,5.25,4.98,1.0,1.0,1.0,0.1327489970347113,14.72094136800019,0.5875157891632685,0.0840438974572017,17.512764589100467,0.49330920110707,0.0842065274290338,15.270056291435766,0.566111294701308,0.1003331406403156,15.834587416178806,0.5489787616572155,0.77,0.64,0.77,0.79,0.74,0.75,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722.0,2021-04-20,15:53:06,infer,583.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:53:23,0:00:17,11.83,2.51,2.03,96.03,5.22,4.92,119.15,5.93,5.66,1.0,1.0,1.0,0.131708238851096,17.862723214285715,0.643052243484431,0.0878860051298446,18.70400629591948,0.584765132532469,0.1209875766139201,12.742362847965904,0.6401219351560883,0.1135272735316202,16.436364119390365,0.6226464370576628,0.78,0.71,0.79,0.76,0.68,0.79,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723.0,2021-04-20,15:53:16,infer,584.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:53:33,0:00:17,11.51,2.49,2.01,95.26,6.24,5.86,112.57,6.07,5.71,0.99,0.99,0.98,0.0982868729781324,16.523120960841602,0.5079643490852727,0.0994520030234315,11.242095322977676,0.5020765756206991,0.0740628760373243,14.800476389907288,0.4866909383840323,0.0906005840129627,14.18856422457552,0.4989106210300014,0.73,0.72,0.67,0.79,0.69,0.74,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724.0,2021-04-20,15:53:35,infer,585.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:53:52,0:00:17,10.74,2.38,1.87,141.05,7.57,7.21,122.31,5.99,5.72,1.0,1.0,1.0,0.0756817256817256,14.166415284062346,0.6010120037414259,0.0763785751790114,17.584775699279515,0.5222674913795824,0.0828565086877107,16.2576971228266,0.5558801096312935,0.0783056031828159,16.002962702056152,0.5597198682507672,0.8,0.69,0.75,0.73,0.59,0.72,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725.0,2021-04-20,15:53:45,infer,586.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:54:03,0:00:18,10.84,2.38,1.93,126.96,5.64,5.29,99.28,5.95,5.72,1.0,1.0,1.0,0.0869147978170534,17.025850471767654,0.5856199905704857,0.1182003922850604,20.78913141270121,0.5776373622459521,0.0879461762466688,11.725812133637069,0.6043901094321964,0.0976871221162609,16.513598006035313,0.5892158207495447,0.75,0.61,0.81,0.76,0.66,0.73,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
