ID,start_date,start_time,mode,eval_id,net,fc2_nodes,fc1_nodes,fc_m1,r_c,total_folds,fold,level,sampler,ts_level_nb,masked_by_lung,z_size,y_size,x_size,loss,pretrained,epochs,weight_decay,batch_size,infer_stride,outfile,hostname,remark,Job_ID,Cluster,User/Group,State,Nodes,Cores_per_node,CPU_Utilized,CPU_Efficiency,Job_Wall-clock_time,Memory_Utilized,Memory_Efficiency,WARNING,end_date,end_time,elapsed_time,train_loss,train_mae,valid_loss,valid_mae,test_loss,test_mae,amp,net_parameters,data_shuffle,data_shuffle_seed,data_dir,label_file,tr_pat_nb,vd_pat_nb,ts_pat_nb,loader_workers,lr,gpuname,gpu_mem_usage,gpu_util,ave_Acc_L1_pos,ave_MAE_L1_pos,ave_WKappa_L1_pos,ave_Acc_L2_pos,ave_MAE_L2_pos,ave_WKappa_L2_pos,ave_Acc_L3_pos,ave_MAE_L3_pos,ave_WKappa_L3_pos,ave_Acc_L4_pos,ave_MAE_L4_pos,ave_WKappa_L4_pos,ave_Acc_L5_pos,ave_MAE_L5_pos,ave_WKappa_L5_pos,ave_Acc_all,ave_MAE_all,ave_WKappa_all,metrics_min,ave_Acc_L1,ave_MAE_L1,ave_WKappa_L1,ave_Acc_L2,ave_MAE_L2,ave_WKappa_L2,ave_Acc_L3,ave_MAE_L3,ave_WKappa_L3,ave_Acc_L4,ave_MAE_L4,ave_WKappa_L4,ave_Acc_L5,ave_MAE_L5,ave_WKappa_L5,train_L1,train_L2,train_L3,train_L4,train_L5,valid_L1,valid_L2,valid_L3,valid_L4,valid_L5,test_L1,test_L2,test_L3,test_L4,test_L5,icc_train_L1,icc_train_L2,icc_train_L3,icc_train_L4,icc_train_L5,icc_valid_L1,icc_valid_L2,icc_valid_L3,icc_valid_L4,icc_valid_L5,icc_test_L1,icc_test_L2,icc_test_L3,icc_test_L4,icc_test_L5,valid_ave_Acc_L1,valid_ave_MAE_L1,valid_WKappa_L1,valid_ave_Acc_L2,valid_ave_MAE_L2,valid_WKappa_L2,valid_ave_Acc_L3,valid_ave_MAE_L3,valid_WKappa_L3,valid_ave_Acc_L4,valid_ave_MAE_L4,valid_WKappa_L4,valid_ave_Acc_L5,valid_ave_MAE_L5,valid_WKappa_L5,valid_ave_Acc_all,valid_ave_MAE_all,valid_WKappa_all,resample_z,icc_validaug_L1,icc_validaug_L2,icc_validaug_L3,icc_validaug_L4,icc_validaug_L5,fine_level,fine_window,InsNorm,workers,if_test,valid_period,upper_value,lower_value,validaug_loss,validaug_mae,t_load_data,t_to_device,t_train_per_step,in_level,train_on_level,level_node,kd_net,infer_2nd,icc_alltrain_combined,icc_allvalid_combined,icc_alltest_combined
11,2021-04-17,19:32:06,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-04-17,19:36:45,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-04-17,19:40:00,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-04-17,19:42:38,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-04-17,19:48:45,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-04-17,19:53:16,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2021-04-17,19:57:14,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021-04-17,20:03:28,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2021-04-17,20:06:29,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,2021-04-17,20:08:52,0:02:23,12409.36,102.55,10558.41,94.27,12153.94,103.49,True,3.0,True,49.0,dataset/LowResolution_fix_size,dataset/SSc_DeepLearning/GohScores.xlsx,134.0,45.0,48.0,5.0,0.0001,,,,,,,,,,,,,,,,,,,0.0,,0.0,mae,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2021-04-17,20:46:24,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,2021-04-17,20:48:27,0:02:03,12196.32,101.89,10562.78,94.3,12158.94,103.52,True,3.0,True,49.0,dataset/LowResolution_fix_size,dataset/SSc_DeepLearning/GohScores.xlsx,134.0,45.0,48.0,5.0,0.0001,,,,,,,,,,,,,,,,,,,0.0,,0.0,mae,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
